Path,FinalStockPrice,FinalHedgingError
1,79.4399,-0.211539
2,98.318,-0.556806
3,112.494,0.402743
4,119.588,-0.285773
5,118.14,-0.427333
6,97.279,0.129534
7,91.4177,0.476406
8,76.4877,-0.499217
9,116.889,-0.416301
10,113.942,1.05391
11,100.303,0.832627
12,107.257,1.01336
13,136.81,0.0701684
14,99.2171,-0.649421
15,124.834,-0.486216
16,102.832,1.46266
17,122.483,-0.748782
18,103.366,0.426998
19,102.399,-0.119383
20,109.217,-1.34925
21,110.192,0.167225
22,115.519,-0.616182
23,114.547,-0.45039
24,95.1848,0.638912
25,111.854,-0.177309
26,103.545,0.965224
27,106.371,-0.714258
28,94.0004,0.784582
29,97.844,0.492118
30,126.769,-0.23648
31,116.256,-0.000984648
32,104.286,-0.247182
33,92.8939,0.220319
34,91.2165,0.739643
35,94.032,0.760145
36,106.396,-0.197383
37,93.2831,0.165118
38,91.4793,-0.0199361
39,104.277,1.37868
40,87.6344,-0.263882
41,101.115,0.148768
42,105.159,1.10354
43,109.122,-1.65591
44,145.785,-0.261903
45,112.498,0.0794337
46,86.6222,0.3387
47,87.5585,0.188978
48,99.9236,0.272549
49,106.88,0.021184
50,102.475,0.471161
51,89.8419,-0.326808
52,88.1549,-0.158928
53,78.646,0.0925262
54,110.832,-0.399449
55,106.179,-0.694392
56,99.4668,0.252776
57,112.045,0.0134979
58,81.2748,0.135415
59,98.6574,0.845713
60,87.6418,0.502932
61,108.418,0.777537
62,96.4473,-0.56458
63,80.9093,-0.206596
64,85.1603,-0.191134
65,93.4586,0.0145609
66,97.1252,0.719485
67,92.2927,-0.90056
68,109.849,-0.217471
69,92.0354,-0.030624
70,99.2708,0.123172
71,92.5002,0.266701
72,82.9295,-0.0840211
73,105.244,0.578815
74,74.4878,-0.189631
75,127.486,0.522624
76,78.2206,-0.0732024
77,149.632,0.0146835
78,112.318,-0.267668
79,108.608,-0.968879
80,95.2593,-0.0160209
81,114.251,0.119972
82,82.4687,0.0812213
83,101.975,-1.62135
84,86.6975,0.158579
85,100.335,0.208675
86,84.3467,0.104952
87,81.3905,-0.0732685
88,114.48,0.426026
89,98.367,-0.776379
90,97.5857,0.535131
91,99.831,-0.324391
92,86.4558,-0.379903
93,101.772,0.260019
94,114.021,0.668054
95,97.3071,-0.16845
96,138.46,0.220144
97,98.4874,0.353506
98,94.117,-0.868994
99,94.1859,-0.0975288
100,114.248,-0.244172
101,97.7625,0.811675
102,116.585,0.671336
103,104.682,0.669894
104,82.2713,0.0914381
105,112.88,-0.784385
106,80.9303,-0.42644
107,88.6361,-0.428651
108,100.896,-0.0882923
109,115.521,-0.641498
110,109.732,0.0667168
111,107.401,0.651307
112,103.073,-0.468939
113,89.0888,-0.176741
114,104.565,1.2396
115,88.1208,-0.02237
116,94.8245,0.571648
117,109.306,0.468122
118,115.522,-1.32525
119,122.412,0.0953616
120,104.507,1.1973
121,129.473,-0.12038
122,90.19,0.354555
123,108.78,0.504542
124,123.884,-0.0040942
125,112.923,-0.349356
126,86.1616,-0.53865
127,119.702,0.141795
128,121.684,-1.21552
129,90.3581,-0.658602
130,81.4165,-0.819277
131,97.7337,0.31125
132,106.364,1.0737
133,129.535,0.821381
134,118.066,0.665212
135,75.6342,-0.12843
136,100.167,0.765336
137,95.4381,0.221305
138,98.4717,-1.42635
139,98.1278,-0.0135212
140,92.602,-0.937091
